target_vertices,m_real,n_real,mn_points_generated,mean_time_s,std_time_s,min_distance
10,13,14,182,0.0016662400012137368,0.0005528339847475711,435.88827423226866
20,18,19,342,0.002899080002680421,0.0008015931094193435,422.0802964657581
30,19,19,361,0.002807339999708347,0.0005580647444899919,413.6325093057047
40,23,22,506,0.0061671000003116205,0.002646697869679028,412.65196720785997
50,23,25,575,0.006962259995634668,0.002424488339009952,407.06847490961707
70,27,25,675,0.00984343999880366,0.0027939527426886616,411.0077559413389
90,29,31,899,0.010676279998733662,0.0015125223366512857,406.6948410715796
110,31,34,1054,0.015711160001228564,0.004078273256463078,405.97089318252347
