tipo,qnt_points,mean_time,std_time,mean_hull_points,std_hull_points,quadrant_1_mean,quadrant_2_mean,quadrant_3_mean,quadrant_4_mean
uniform,100,0.028599619996384718,0.004947717866577848,12.1,1.3,0.2626340326340327,0.17955710955710957,0.2533916083916084,0.30441724941724946
uniform,200,0.05060457000217866,0.0077683582370940835,12.6,1.42828568570857,0.22299700299700304,0.23930402930402925,0.2871295371295371,0.25056943056943054
uniform,500,0.15254988000378944,0.022978193337407797,15.0,1.6733200530681511,0.24019015298427063,0.23930187459599228,0.28231909430438845,0.23818887811534867
uniform,1000,0.4345841000031214,0.10131417656280604,18.4,1.9595917942265424,0.22839644789335187,0.24412889956620604,0.2531291128891748,0.2743455396512672
uniform,2000,0.8756642599997576,0.13873816586357066,19.9,2.0223748416156684,0.22947008083449724,0.2217128377597485,0.278403873649869,0.27041320775588507
uniform,5000,2.8326806800003395,0.3195841399124149,23.1,2.0223748416156684,0.23892123335601595,0.2289660741834655,0.2662529161659597,0.26585977629455887
uniform,10000,5.207141840003897,1.3346995383873697,22.6,1.8,0.24726927661710274,0.23394111926720623,0.26323875399962354,0.25555085011606754
uniform,15000,8.34183324999176,1.599165264806292,24.3,3.3778691508109073,0.2544249952945605,0.21855913168956645,0.22652876592007026,0.30048710709580273
uniform,20000,12.817878180003026,3.4141243104907213,24.3,3.2572994949804666,0.23657195436142806,0.24673639226270802,0.268512125301599,0.24817952807426485
cluster,100,0.0267671900044661,0.010260926205175769,10.3,1.9000000000000001,0.36823731823731826,0.37049117549117544,0.1160902985902986,0.1451812076812077
cluster,200,0.044690969996736385,0.014390176290208237,11.6,2.0099751242241783,0.3488890276390276,0.37011627261627267,0.14456640581640584,0.13642829392829395
cluster,500,0.14788852000201586,0.047098855930310525,12.5,1.9621416870348585,0.36020773344302753,0.37915672562731384,0.13017962429727137,0.13045591663238723
cluster,1000,0.3138154599961126,0.06145754811393429,12.5,1.5652475842498528,0.3592890442890443,0.3691258741258741,0.11266899766899767,0.15891608391608392
cluster,2000,0.7441072699992219,0.15810450027728198,13.9,1.9209372712298547,0.38701328083681025,0.3413593269475622,0.13524260053671816,0.13638479167890932
cluster,5000,1.8381603399990127,0.40201627078716734,14.0,2.04939015319192,0.3640292795439854,0.3080971724354077,0.17044937905232022,0.15742416896828662
cluster,10000,4.203320199993323,0.7418436736791594,15.7,2.0024984394500787,0.40227802254505035,0.3443222592680797,0.11283430578709215,0.1405654123997777
cluster,15000,6.332676249995711,1.2807006299989812,15.8,1.6,0.3550571895424836,0.3692565359477124,0.1379330065359477,0.1377532679738562
cluster,20000,8.667357120005182,3.377530756036357,15.4,1.8,0.3747463729081376,0.3300176865618042,0.14976549594196656,0.14547044458809166
grid,100,0.039984770002774894,0.0074343224100107096,20.0,0.0,0.049999999999999996,0.25,0.45000000000000007,0.25
grid,200,0.08825856999610551,0.028119505621624,20.0,0.0,0.049999999999999996,0.39999999999999997,0.5,0.049999999999999996
grid,500,0.4205768700048793,0.06681537181145003,40.0,0.0,0.024999999999999998,0.29999999999999993,0.5,0.17500000000000002
grid,1000,1.074346469991724,0.09319995315718559,41.0,0.0,0.024390243902439022,0.39024390243902435,0.5609756097560975,0.024390243902439022
grid,2000,3.4841079999983777,0.5508713621718109,66.0,0.0,0.015151515151515148,0.34848484848484856,0.6212121212121212,0.015151515151515148
grid,5000,14.540166979990317,3.1352914963253515,102.0,0.0,0.009803921568627449,0.35294117647058826,0.6274509803921567,0.009803921568627449
grid,10000,46.83849512000161,6.462861520593705,200.0,0.0,0.004999999999999999,0.25,0.495,0.25
grid,15000,88.12823774999997,16.719335499153974,240.0,0.0,0.004166666666666667,0.25833333333333336,0.5,0.2375
grid,20000,136.3294651299948,3.7648818595837996,262.0,0.0,0.0038167938931297713,0.2709923664122137,0.534351145038168,0.19083969465648856
