time_rel,time_abs,x,y,vel_x,vel_y,acc_x,acc_y
0.43565845489501953,2025-09-24T21:10:05.296554,950,220,-1203.7550762696055,782.4407995752435,-36225.657091121095,23546.67710922871
0.4523653984069824,2025-09-24T21:10:05.313261,939,227,-658.4088820389874,418.9874703884465,32641.88891523616,-21754.627285747916
0.4692213535308838,2025-09-24T21:10:05.330117,935,228,-237.30485579711168,59.32621394927792,24982.50755572786,-21337.34064877623
0.4864978790283203,2025-09-24T21:10:05.347394,933,228,-115.76401749858549,0.0,7035.027865791668,-3433.920434874518
0.5033013820648193,2025-09-24T21:10:05.364197,932,228,-59.51140055903177,0.0,3347.672019183557,0.0
0.5201165676116943,2025-09-24T21:10:05.381012,926,223,-356.82032667876587,-297.3502722323049,-17680.97802375943,-17683.436879325167
0.5524415969848633,2025-09-24T21:10:05.413337,859,164,-2072.697265841084,-1825.211025143641,-53081.991646589624,-47265.564255898906
0.5856201648712158,2025-09-24T21:10:05.446516,647,117,-6389.666990033127,-1416.5771157148913,-130113.20256435052,12316.200953231459
0.6190946102142334,2025-09-24T21:10:05.479991,379,145,-8006.107263429296,836.4589678209712,-48288.78437961457,67306.15131777896
0.63639235496521,2025-09-24T21:10:05.497288,306,168,-4220.2033300253615,1329.6531039805932,218866.90940969036,28512.048435202985
0.6547012329101562,2025-09-24T21:10:05.515597,239,205,-3659.4268748453637,2020.8775278996784,30628.663147256724,37753.510946850816
0.6870236396789551,2025-09-24T21:10:05.547919,189,269,-1546.914509109685,1980.0505716603968,65357.52058460294,-1263.1162193866169
0.7179265022277832,2025-09-24T21:10:05.578823,174,340,-485.3919269226021,2297.5217874336504,34350.299442642965,10273.19767777605
0.7366609573364258,2025-09-24T21:10:05.597557,176,400,106.75517320369569,3202.6551961108707,31607.38311802453,48313.83690789407
0.7681622505187988,2025-09-24T21:10:05.629058,208,485,1015.8313125350045,2698.3019239211058,28858.375244099312,-16010.557702182918
0.8005692958831787,2025-09-24T21:10:05.661465,287,546,2437.7415192201584,1882.306742688983,43876.57654986476,-25179.561174343333
0.8331971168518066,2025-09-24T21:10:05.694093,442,546,4750.547091362138,0.0,70884.46312016278,-57690.23755827412
0.868415117263794,2025-09-24T21:10:05.729311,593,467,4287.580164505975,-2243.171079443523,-13145.747102058122,-63693.87964116228
0.899991512298584,2025-09-24T21:10:05.760887,622,400,918.407562612786,-2121.838161898506,-106699.08956298283,3842.519623007495
0.9185149669647217,2025-09-24T21:10:05.779411,592,323,-1619.5683008765268,-4156.891972249752,-137014.17522990075,-109863.62139409565
0.9490988254547119,2025-09-24T21:10:05.809995,517,200,-2452.2739674768864,-4021.729306662093,-27226.965716993986,4419.411815938665
0.9662165641784668,2025-09-24T21:10:05.827113,491,160,-1518.8922099809183,-2336.75724612449,54527.164630727864,98434.26679946393
0.9987187385559082,2025-09-24T21:10:05.860791,486,153,-153.83586162377864,-215.3702062732901,41998.9239029059,65269.08062260532
1.0158679485321045,2025-09-24T21:10:05.876764,485,153,-58.311724061227046,0.0,5570.177150734202,12558.608039217643
1.0326056480407715,2025-09-24T21:10:05.893502,483,157,-119.49073401421592,238.98146802843183,-3655.162402772831,14278.035515256097
1.0493569374084473,2025-09-24T21:10:05.910253,483,187,0.0,1790.9069171648164,7133.226069438683,92645.13405941552
1.06697416305542,2025-09-24T21:10:05.927870,493,228,567.6262653602555,2327.2676879770474,32219.95771268312,30445.246122189466
1.1013643741607666,2025-09-24T21:10:05.962260,522,310,843.2632155459884,2384.3994370610703,8014.982790927949,1661.279394564128
1.1338989734649658,2025-09-24T21:10:05.994795,541,335,583.9936684742781,768.4127216766818,-7969.040732530138,-49669.790006475174
1.16904878616333,2025-09-24T21:10:06.029945,554,339,369.84549851114775,113.798614926507,-6092.441282712612,-18623.544664880625
1.2015399932861328,2025-09-24T21:10:06.062436,562,327,246.22046111624766,-369.3306916743715,-3804.876714110708,-14869.540081255163
1.2339098453521729,2025-09-24T21:10:06.094806,544,243,-556.0729768945783,-2595.007225508032,-24785.20557875921,-68757.69865407169
1.266347885131836,2025-09-24T21:10:06.127244,525,192,-585.7320642387269,-1572.2281724302673,-914.3304449223608,31530.23610628262
