test_type,agent_count,grid_rows,grid_cols,mean_time_s,grid_cells,distribution_type,mean_path_length,run_id,time_s,path_length
path_length,,50,50,,,,,73.0,0.002481900000020687,91.0
path_length,,50,50,,,,,74.0,0.0019061000002693618,51.0
path_length,,50,50,,,,,75.0,0.0017302000001109263,74.0
path_length,,50,50,,,,,76.0,0.0020322000000305707,90.0
path_length,,50,50,,,,,77.0,0.00470050000012634,111.0
path_length,,50,50,,,,,78.0,0.004307300000164105,86.0
path_length,,50,50,,,,,79.0,0.0017395999998370826,54.0
path_length,,50,50,,,,,80.0,0.0010420000003250607,32.0
path_length,,50,50,,,,,81.0,0.0027635000001282606,86.0
path_length,,50,50,,,,,82.0,0.001975000000129512,54.0
path_length,,50,50,,,,,83.0,0.002323500000329659,75.0
path_length,,50,50,,,,,84.0,0.003560000000106811,76.0
path_length,,50,50,,,,,85.0,0.0028919999999743595,74.0
path_length,,50,50,,,,,86.0,0.0015226000000438944,80.0
path_length,,50,50,,,,,87.0,0.001480399999763904,72.0
path_length,,50,50,,,,,88.0,0.0014991000002737565,36.0
path_length,,50,50,,,,,89.0,0.0032117000000653206,92.0
path_length,,50,50,,,,,90.0,0.0032346000002689834,117.0
path_length,,50,50,,,,,91.0,0.0016826000000946806,51.0
path_length,,50,50,,,,,92.0,0.0014082999996389844,92.0
path_length,,50,50,,,,,93.0,0.0020607999999811,84.0
path_length,,50,50,,,,,94.0,0.0017787000001590059,52.0
path_length,,50,50,,,,,95.0,0.0020666000000346685,19.0
path_length,,50,50,,,,,96.0,0.002684699999917939,81.0
path_length,,50,50,,,,,97.0,0.001830100000006496,29.0
path_length,,50,50,,,,,98.0,0.0018442000000504777,65.0
path_length,,50,50,,,,,99.0,0.001335899999958201,33.0
path_length,,50,50,,,,,100.0,0.0016814999999041902,68.0
path_length,,50,50,,,,,101.0,0.006867299999612442,64.0
path_length,,50,50,,,,,102.0,0.001968600000054721,26.0
path_length,,50,50,,,,,103.0,0.004064799999923707,94.0
path_length,,50,50,,,,,104.0,0.0032320999998773914,67.0
path_length,,50,50,,,,,105.0,0.0012812999998459418,7.0
path_length,,50,50,,,,,106.0,0.0023774999999659485,88.0
path_length,,50,50,,,,,107.0,0.00429580000036367,100.0
path_length,,50,50,,,,,108.0,0.001830100000006496,78.0
path_length,,50,50,,,,,109.0,0.002279099999668688,40.0
path_length,,50,50,,,,,110.0,0.005693000000064785,70.0
path_length,,50,50,,,,,111.0,0.003481799999917712,75.0
path_length,,50,50,,,,,112.0,0.001170300000012503,46.0
path_length,,50,50,,,,,113.0,0.0015317000002141867,58.0
path_length,,50,50,,,,,114.0,0.0033745999999155174,54.0
path_length,,50,50,,,,,115.0,0.0019548000000213506,68.0
path_length,,50,50,,,,,116.0,0.0018192000002272835,47.0
path_length,,50,50,,,,,117.0,0.002375300000039715,60.0
path_length,,50,50,,,,,118.0,0.0012397999998938758,61.0
path_length,,50,50,,,,,119.0,0.0009625999996387691,2.0
path_length,,50,50,,,,,120.0,0.0025812999997469888,81.0
path_length,,50,50,,,,,121.0,0.002428400000098918,83.0
path_length,,50,50,,,,,122.0,0.003340600000228733,85.0
path_length,,50,50,,,,,123.0,0.0013533999999708612,17.0
path_length,,50,50,,,,,124.0,0.001814100000046892,48.0
path_length,,50,50,,,,,125.0,0.0017325000003438618,72.0
path_length,,50,50,,,,,126.0,0.002312600000095699,70.0
path_length,,50,50,,,,,127.0,0.0018377999999756867,69.0
path_length,,50,50,,,,,128.0,0.0026402000003145076,77.0
path_length,,50,50,,,,,129.0,0.0020337999999355816,80.0
path_length,,50,50,,,,,130.0,0.0027638999999908265,94.0
path_length,,50,50,,,,,131.0,0.00105729999995674,41.0
path_length,,50,50,,,,,132.0,0.0017877000000225962,74.0
path_length,,50,50,,,,,133.0,0.0017219999999724678,47.0
path_length,,50,50,,,,,134.0,0.0045962999997755105,98.0
path_length,,50,50,,,,,135.0,0.0020273999998607906,13.0
path_length,,50,50,,,,,136.0,0.001287400000364869,25.0
path_length,,50,50,,,,,137.0,0.0015300999998544285,64.0
path_length,,50,50,,,,,138.0,0.002903900000092108,70.0
path_length,,50,50,,,,,139.0,0.0020438999999896623,63.0
path_length,,50,50,,,,,140.0,0.001523899999938294,51.0
path_length,,50,50,,,,,141.0,0.002344600000014907,80.0
path_length,,50,50,,,,,142.0,0.0028717000000142434,111.0
path_length,,50,50,,,,,143.0,0.0009356999998999527,42.0
path_length,,50,50,,,,,144.0,0.0023748000003251946,77.0
path_length,,50,50,,,,,145.0,0.0016885000000002037,57.0
path_length,,50,50,,,,,146.0,0.003189200000178971,84.0
path_length,,50,50,,,,,147.0,0.0035222000001340348,66.0
path_length,,50,50,,,,,148.0,0.0020312000001467823,53.0
path_length,,50,50,,,,,149.0,0.0014573000003110792,50.0
path_length,,50,50,,,,,150.0,0.00120249999963562,31.0
path_length,,50,50,,,,,151.0,0.0015361999999186082,64.0
path_length,,50,50,,,,,152.0,0.002746900000147434,114.0
path_length,,50,50,,,,,153.0,0.006083499999931519,121.0
path_length,,50,50,,,,,154.0,0.0015158999999584921,84.0
path_length,,50,50,,,,,155.0,0.003975199999786128,99.0
path_length,,50,50,,,,,156.0,0.0011929000002055545,29.0
path_length,,50,50,,,,,157.0,0.0012403000000631437,54.0
path_length,,50,50,,,,,158.0,0.0011786999998548708,28.0
path_length,,50,50,,,,,159.0,0.001983699999982491,11.0
path_length,,50,50,,,,,160.0,0.0018098000000463799,33.0
path_length,,50,50,,,,,161.0,0.001224999999976717,31.0
path_length,,50,50,,,,,162.0,0.0019742999998015875,66.0
path_length,,50,50,,,,,163.0,0.0035554000000956876,100.0
path_length,,50,50,,,,,164.0,0.0012884000002486573,77.0
path_length,,50,50,,,,,165.0,0.0015834999999242427,82.0
path_length,,50,50,,,,,166.0,0.0026840000000447617,77.0
path_length,,50,50,,,,,167.0,0.002439899999899353,58.0
path_length,,50,50,,,,,168.0,0.001509499999883701,7.0
path_length,,50,50,,,,,169.0,0.0014908000002833433,47.0
path_length,,50,50,,,,,170.0,0.0028968000001441396,72.0
path_length,,50,50,,,,,171.0,0.0026876000001720968,76.0
path_length,,50,50,,,,,172.0,0.004864900000029593,78.0
path_length,,50,50,,,,,173.0,0.001318399999945541,43.0
path_length,,50,50,,,,,174.0,0.0010852999998860469,22.0
path_length,,50,50,,,,,175.0,0.001377399999910267,46.0
path_length,,50,50,,,,,176.0,0.0014350999999805936,60.0
path_length,,50,50,,,,,177.0,0.00120310000011159,64.0
path_length,,50,50,,,,,178.0,0.001046099999712169,20.0
path_length,,50,50,,,,,179.0,0.002151000000139902,89.0
path_length,,50,50,,,,,180.0,0.0017136999999820546,42.0
path_length,,50,50,,,,,181.0,0.0030907000000297558,78.0
path_length,,50,50,,,,,182.0,0.002604799999971874,90.0
path_length,,50,50,,,,,183.0,0.0014228000000002794,64.0
path_length,,50,50,,,,,184.0,0.001166699999885168,55.0
path_length,,50,50,,,,,185.0,0.001025399999889487,31.0
path_length,,50,50,,,,,186.0,0.0018371000001025095,55.0
path_length,,50,50,,,,,187.0,0.002365900000313559,29.0
path_length,,50,50,,,,,188.0,0.0025026999996953236,91.0
path_length,,50,50,,,,,189.0,0.0018713999997999053,93.0
path_length,,50,50,,,,,190.0,0.001996500000132073,53.0
path_length,,50,50,,,,,191.0,0.0021268999998937943,81.0
path_length,,50,50,,,,,192.0,0.0009632000001147389,5.0
path_length,,50,50,,,,,193.0,0.0014243000000533357,88.0
path_length,,50,50,,,,,194.0,0.0018921999999292893,39.0
path_length,,50,50,,,,,195.0,0.0023009000001366076,47.0
path_length,,50,50,,,,,196.0,0.001535500000045431,61.0
path_length,,50,50,,,,,197.0,0.0014359000001604727,26.0
path_length,,50,50,,,,,198.0,0.0015725999996902829,52.0
path_length,,50,50,,,,,199.0,0.0023295999999390915,95.0
path_length,,50,50,,,,,200.0,0.002500699999927747,93.0
path_length,,50,50,,,,,201.0,0.0021200999999564374,32.0
path_length,,50,50,,,,,202.0,0.0014043000001038308,41.0
path_length,,50,50,,,,,203.0,0.002399700000296434,81.0
path_length,,50,50,,,,,204.0,0.002188899999964633,83.0
path_length,,50,50,,,,,205.0,0.0016519000000698725,62.0
path_length,,50,50,,,,,206.0,0.0015521000000262575,81.0
path_length,,50,50,,,,,207.0,0.006930500000180473,82.0
path_length,,50,50,,,,,208.0,0.0015688000003137859,14.0
path_length,,50,50,,,,,209.0,0.002751800000169169,80.0
path_length,,50,50,,,,,210.0,0.0026088999998137297,103.0
path_length,,50,50,,,,,211.0,0.0016303000002153567,47.0
path_length,,50,50,,,,,212.0,0.0016525999999430496,65.0
path_length,,50,50,,,,,213.0,0.0018480000003364694,44.0
path_length,,50,50,,,,,214.0,0.0015650000000277942,42.0
path_length,,50,50,,,,,215.0,0.002129799999693205,86.0
path_length,,50,50,,,,,216.0,0.0010626999996929953,83.0
path_length,,50,50,,,,,217.0,0.0013139000002411194,47.0
path_length,,50,50,,,,,218.0,0.0009494000000813685,7.0
path_length,,50,50,,,,,219.0,0.001799000000119122,42.0
path_length,,50,50,,,,,220.0,0.001834099999996397,54.0
path_length,,50,50,,,,,221.0,0.001022599999942031,38.0
path_length,,50,50,,,,,222.0,0.001995000000079017,89.0
path_length,,50,50,,,,,223.0,0.0016809999997349223,6.0
path_length,,50,50,,,,,224.0,0.002133500000127242,65.0
path_length,,50,50,,,,,225.0,0.0012626999996427912,48.0
path_length,,50,50,,,,,226.0,0.0015222000001813285,34.0
path_length,,50,50,,,,,227.0,0.0016526999997950043,69.0
path_length,,50,50,,,,,228.0,0.0015378999996755738,74.0
path_length,,50,50,,,,,229.0,0.0010238999998364307,23.0
path_length,,50,50,,,,,230.0,0.001628900000014255,52.0
path_length,,50,50,,,,,231.0,0.001471400000355061,11.0
path_length,,50,50,,,,,232.0,0.0015098000003490597,54.0
path_length,,50,50,,,,,233.0,0.0011202000000594126,49.0
path_length,,50,50,,,,,234.0,0.0024585999999544583,78.0
path_length,,50,50,,,,,235.0,0.0009490000002188026,14.0
path_length,,50,50,,,,,236.0,0.0014177000002746354,80.0
path_length,,50,50,,,,,237.0,0.0013991000000714848,42.0
path_length,,50,50,,,,,238.0,0.001497300000210089,64.0
path_length,,50,50,,,,,239.0,0.0020254000000932137,56.0
path_length,,50,50,,,,,240.0,0.003781899999921734,95.0
path_length,,50,50,,,,,241.0,0.002838199999587232,70.0
path_length,,50,50,,,,,242.0,0.0012661999999181717,25.0
path_length,,50,50,,,,,243.0,0.002649600000040664,69.0
path_length,,50,50,,,,,244.0,0.0013889000001654495,78.0
path_length,,50,50,,,,,245.0,0.001798499999949854,80.0
path_length,,50,50,,,,,246.0,0.002520499999718595,60.0
path_length,,50,50,,,,,247.0,0.002425600000151462,107.0
path_length,,50,50,,,,,248.0,0.0014444000003095425,74.0
path_length,,50,50,,,,,249.0,0.0014043000001038308,68.0
path_length,,50,50,,,,,250.0,0.0019970999996985483,56.0
path_length,,50,50,,,,,251.0,0.002266299999973853,55.0
path_length,,50,50,,,,,252.0,0.004647799999929703,84.0
path_length,,50,50,,,,,253.0,0.002606000000014319,74.0
path_length,,50,50,,,,,254.0,0.0012274999999135616,58.0
path_length,,50,50,,,,,255.0,0.0012259999998605053,46.0
path_length,,50,50,,,,,256.0,0.00160409999989497,53.0
path_length,,50,50,,,,,257.0,0.0010703000002649787,44.0
path_length,,50,50,,,,,258.0,0.0020622000001822016,106.0
path_length,,50,50,,,,,259.0,0.0015873000002102344,33.0
path_length,,50,50,,,,,260.0,0.0022695000002386223,57.0
path_length,,50,50,,,,,261.0,0.001739100000122562,41.0
path_length,,50,50,,,,,262.0,0.002614900000025955,74.0
path_length,,50,50,,,,,263.0,0.0010750999999800115,56.0
path_length,,50,50,,,,,264.0,0.0013314000002537796,46.0
path_length,,50,50,,,,,265.0,0.0010908999997809588,24.0
path_length,,50,50,,,,,266.0,0.0010935000000245054,34.0
path_length,,50,50,,,,,267.0,0.003193900000042049,63.0
path_length,,50,50,,,,,268.0,0.0014175999999679334,80.0
path_length,,50,50,,,,,269.0,0.0013677000001734996,80.0
path_length,,50,50,,,,,270.0,0.0016270999999505875,60.0
path_length,,50,50,,,,,271.0,0.0010526999999456166,35.0
path_length,,50,50,,,,,272.0,0.0009411999999429099,34.0
path_length,,50,50,,,,,273.0,0.0010724999997364648,68.0
path_length,,50,50,,,,,274.0,0.0020631999996112427,71.0
path_length,,50,50,,,,,275.0,0.0014105000000199652,58.0
path_length,,50,50,,,,,276.0,0.0020835999998780608,36.0
path_length,,50,50,,,,,277.0,0.0023430999999618507,106.0
path_length,,50,50,,,,,278.0,0.0027577999999266467,93.0
path_length,,50,50,,,,,279.0,0.0015774000003148103,82.0
path_length,,50,50,,,,,280.0,0.0014756999999008258,74.0
path_length,,50,50,,,,,281.0,0.0013114000003042747,53.0
path_length,,50,50,,,,,282.0,0.0011233000000174798,37.0
path_length,,50,50,,,,,283.0,0.0011297000000922708,77.0
path_length,,50,50,,,,,284.0,0.0036434999997254636,66.0
path_length,,50,50,,,,,285.0,0.0015281999999388063,89.0
path_length,,50,50,,,,,286.0,0.0008723999999347143,8.0
path_length,,50,50,,,,,287.0,0.0010841000002983492,57.0
path_length,,50,50,,,,,288.0,0.0017678999997770006,70.0
path_length,,50,50,,,,,289.0,0.0018692999997256265,64.0
path_length,,50,50,,,,,290.0,0.001227000000199041,70.0
path_length,,50,50,,,,,291.0,0.0024912999997468432,71.0
path_length,,50,50,,,,,292.0,0.003435900000113179,54.0
path_length,,50,50,,,,,293.0,0.0015149999999266583,64.0
path_length,,50,50,,,,,294.0,0.0014095000001361768,51.0
path_length,,50,50,,,,,295.0,0.0018850999999813212,54.0
path_length,,50,50,,,,,296.0,0.0018405999999231426,64.0
path_length,,50,50,,,,,297.0,0.0011958999998569197,33.0
path_length,,50,50,,,,,298.0,0.0015172999997048464,78.0
path_length,,50,50,,,,,299.0,0.0026023000000350294,39.0
